,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
0,Mitsamiouli,-11.38,43.28,79.72,82,1,11.74,KM,1602534438
1,Balkhash,46.84,74.98,47.21,63,0,3.94,KZ,1602534438
2,Alofi,-19.06,-169.92,75.2,73,75,18.34,NU,1602534438
3,Salalah,17.02,54.09,78.8,78,84,3.36,OM,1602534438
4,Ushuaia,-54.8,-68.3,44.6,70,75,5.82,AR,1602534438
5,Seoul,37.57,126.98,51.8,66,1,5.06,KR,1602534159
6,Araouane,18.9,-3.53,97.39,19,45,13.87,ML,1602534439
7,Daru,-9.08,143.21,78.94,85,100,14.34,PG,1602534439
8,Vengerovo,55.68,76.75,43.88,92,71,10.36,RU,1602534439
9,Hobart,-42.88,147.33,48.2,61,20,8.05,AU,1602534360
10,Morant Bay,17.88,-76.41,87.8,74,40,17.22,JM,1602534439
11,Dunedin,-45.87,170.5,50.0,78,27,11.01,NZ,1602534439
12,Rio das Pedras,-22.84,-47.61,91.0,20,2,9.17,BR,1602534440
13,Lebu,-37.62,-73.65,53.06,74,0,20.09,CL,1602534440
14,Popondetta,-8.75,148.25,73.29,84,49,2.35,PG,1602534440
15,Bredasdorp,-34.53,20.04,59.0,82,32,14.99,ZA,1602534340
16,Ribeira Grande,38.52,-28.7,68.0,72,75,10.29,PT,1602534440
17,Freeport,40.66,-73.58,55.0,93,90,11.41,US,1602534212
18,Leningradskiy,69.38,178.42,20.75,90,63,5.06,RU,1602534440
19,Kapaa,22.08,-159.32,82.4,78,75,10.29,US,1602534440
20,Progreso,21.28,-89.67,93.99,59,75,4.7,MX,1602534441
21,Chardara,41.25,67.97,53.55,39,0,9.08,KZ,1602534441
22,Hermanus,-34.42,19.23,57.99,87,3,3.0,ZA,1602534441
23,Cabedelo,-6.98,-34.83,80.6,69,20,11.41,BR,1602534441
24,Teguise,29.06,-13.56,77.0,61,14,12.75,ES,1602534441
25,Kaitangata,-46.28,169.85,51.01,82,24,5.99,NZ,1602534441
26,Mill Valley,37.91,-122.55,82.4,28,1,4.7,US,1602534442
27,Rikitea,-23.12,-134.97,74.05,76,24,16.53,PF,1602534442
28,Tasiilaq,65.61,-37.64,39.2,80,100,11.41,GL,1602534442
29,Bambous Virieux,-20.34,57.76,73.0,88,20,5.82,MU,1602534442
30,Pemangkat,1.17,108.97,76.73,86,100,4.59,ID,1602534442
31,Punta Arenas,-53.15,-70.92,51.8,71,100,28.86,CL,1602534442
32,Atar,20.52,-13.05,94.12,29,11,12.55,MR,1602534443
33,Gizo Government Station,-8.1,156.84,83.61,79,94,13.56,SB,1602534443
34,Cabo San Lucas,22.89,-109.91,84.0,74,90,4.7,MX,1602534320
35,São Filipe,14.9,-24.5,78.33,77,16,10.87,CV,1602534443
36,Porosozero,62.72,32.73,42.69,96,100,4.97,RU,1602534443
37,Atuona,-9.8,-139.03,78.26,74,40,15.26,PF,1602534443
38,Port Elizabeth,-33.92,25.57,55.4,87,87,2.24,ZA,1602534400
39,Nemuro,43.32,145.57,61.41,96,100,27.22,JP,1602534444
40,Mount Isa,-20.73,139.5,75.2,31,27,6.93,AU,1602534444
41,Jamestown,42.1,-79.24,61.0,82,90,18.34,US,1602534252
42,Riyadh,24.69,46.72,73.4,18,0,5.82,SA,1602534280
43,Busselton,-33.65,115.33,55.99,64,96,9.1,AU,1602534444
44,Hilo,19.73,-155.09,84.2,62,75,4.7,US,1602534190
45,Nadym,65.53,72.52,36.43,83,78,8.88,RU,1602534445
46,Lompoc,34.64,-120.46,91.99,33,1,13.87,US,1602534289
47,Ugoofaaru,5.67,73.0,82.62,77,100,22.93,MV,1602534445
48,Ixtapa,20.7,-105.2,89.6,62,75,6.93,MX,1602534445
49,Athabasca,54.72,-113.29,43.27,64,94,16.22,CA,1602534445
50,Palāsa,18.77,84.42,80.1,88,100,16.62,IN,1602534445
51,Bluff,-46.6,168.33,50.0,84,65,7.0,NZ,1602534445
52,Butaritari,3.07,172.79,81.99,74,1,18.32,KI,1602534446
53,Belle Fourche,44.67,-103.85,70.0,27,1,17.22,US,1602534446
54,Mataura,-46.19,168.86,50.0,84,47,7.0,NZ,1602534446
55,Saint George,37.1,-113.58,82.0,15,1,3.69,US,1602534276
56,Simao,22.79,100.97,59.4,85,20,1.99,CN,1602534446
57,Barrow,71.29,-156.79,23.0,85,90,4.7,US,1602534446
58,Albany,42.6,-73.97,55.99,54,95,8.52,US,1602534302
59,Kruisfontein,-34.0,24.73,58.15,60,99,4.07,ZA,1602534447
60,Cape Town,-33.93,18.42,59.0,76,12,4.7,ZA,1602534286
61,Upernavik,72.79,-56.15,31.3,97,20,9.1,GL,1602534447
62,East London,-33.02,27.91,61.63,75,2,13.76,ZA,1602534447
63,Tingo María,-9.29,-76.01,91.4,43,20,4.7,PE,1602534447
64,Kavieng,-2.57,150.8,82.27,71,2,4.27,PG,1602534447
65,Krasnogorsk,55.82,37.32,55.0,87,90,4.47,RU,1602534448
66,Ponta do Sol,32.67,-17.1,71.6,68,20,13.87,PT,1602534448
67,Vaini,-21.2,-175.2,75.2,64,20,12.75,TO,1602534448
68,Khatanga,71.97,102.5,24.98,98,95,13.4,RU,1602534448
69,Kaoma,-14.78,24.8,68.7,72,99,10.92,ZM,1602534448
70,Grand Gaube,-20.01,57.66,73.0,80,0,5.99,MU,1602534448
71,Mafinga,-7.25,35.07,74.17,55,0,6.13,TZ,1602534449
72,Mahibadhoo,3.78,72.97,82.09,78,100,20.56,MV,1602534449
73,Panalingaan,8.78,117.42,79.77,79,100,4.47,PH,1602534449
74,Assiut,27.18,31.18,82.4,45,1,10.29,EG,1602534449
75,Baykit,61.67,96.37,23.22,87,84,2.77,RU,1602534450
76,Yeppoon,-23.13,150.73,64.4,82,40,6.93,AU,1602534450
77,North Bend,43.41,-124.22,72.0,72,20,8.05,US,1602534450
78,Puerto Ayora,-0.74,-90.35,80.6,61,20,24.16,EC,1602534450
79,Petropavlovka,50.61,105.32,22.33,77,0,1.99,RU,1602534450
80,Kavaratti,10.57,72.64,81.55,80,100,18.88,IN,1602534450
81,Khovd,48.01,91.64,33.13,83,78,2.82,MN,1602534450
82,Witu,-2.39,40.44,76.23,87,2,8.03,KE,1602534451
83,Bud,39.45,-86.18,73.4,69,90,8.05,US,1602534451
84,Namatanai,-3.67,152.43,79.77,81,51,5.82,PG,1602534226
85,Kasulu,-4.58,30.1,71.6,94,76,3.27,TZ,1602534451
86,Oranjemund,-28.55,16.43,61.3,67,64,11.14,NA,1602534451
87,Tondano,1.3,124.91,75.2,94,40,2.24,ID,1602534451
88,George Town,5.41,100.34,77.0,88,20,3.36,MY,1602534452
89,Labuhan,-6.88,112.21,79.59,77,82,5.68,ID,1602534452
90,Olafsvik,64.89,-23.71,44.78,79,92,8.1,IS,1602534452
91,Champerico,14.3,-91.92,93.2,59,40,6.93,GT,1602534452
92,Port Macquarie,-31.43,152.92,59.0,100,4,3.36,AU,1602534452
93,Carauari,-4.88,-66.9,84.7,61,100,8.16,BR,1602534453
94,Itarema,-2.92,-39.92,80.69,72,0,17.98,BR,1602534453
95,Masvingo,-20.06,30.83,59.34,91,100,9.98,ZW,1602534453
96,Guaraniaçu,-25.1,-52.88,82.26,33,0,4.05,BR,1602534453
97,Longhua,23.61,114.19,70.74,78,59,3.38,CN,1602534453
98,Avarua,-21.21,-159.78,71.6,88,79,9.17,CK,1602534454
99,Yellowknife,62.46,-114.35,35.6,69,90,20.8,CA,1602534454
100,Port Hardy,50.7,-127.42,51.8,87,75,12.75,CA,1602534454
101,Fare,-16.7,-151.02,79.32,78,0,15.64,PF,1602534454
102,Provideniya,64.38,-173.3,32.0,90,100,8.95,RU,1602534454
103,Simpang,-1.27,104.08,74.23,97,100,2.26,ID,1602534454
104,Asău,46.43,26.4,60.01,95,100,2.46,RO,1602534454
105,Kirovskiy,45.09,133.51,36.88,78,0,1.25,RU,1602534455
106,Beringovskiy,63.05,179.32,28.06,97,100,15.05,RU,1602534230
107,Walvis Bay,-22.96,14.51,55.99,87,0,8.05,NA,1602534455
108,Kirakira,-10.45,161.92,81.3,83,67,12.08,SB,1602534455
109,Kita,13.03,-9.49,77.56,77,99,3.36,ML,1602534455
110,Bilma,18.69,12.92,87.3,16,0,5.12,NE,1602534455
111,Qaanaaq,77.48,-69.36,33.1,91,100,4.52,GL,1602534272
112,Taveta,-3.4,37.67,69.8,52,20,8.05,KE,1602534456
113,Juneau,58.3,-134.42,48.2,81,75,6.93,US,1602534456
114,Kieta,-6.22,155.63,79.79,76,97,5.73,PG,1602534456
115,Dashitou,43.31,128.51,31.64,90,0,4.41,CN,1602534456
116,Kahului,20.89,-156.47,89.6,49,40,5.82,US,1602534457
117,Pontes e Lacerda,-15.23,-59.34,84.33,53,75,3.56,BR,1602534457
118,Serabu,7.8,-12.05,75.04,94,100,3.47,SL,1602534457
119,Oktyabr'skoye,43.06,44.74,44.6,93,39,6.71,RU,1602534457
120,Flin Flon,54.77,-101.86,41.0,60,75,23.04,CA,1602534457
121,East Wenatchee Bench,47.43,-120.28,64.99,38,1,16.11,US,1602534457
122,Bethel,41.37,-73.41,54.0,71,90,17.22,US,1602534458
